"Area
Code",St,Cnty,Own,NAICS,Year,Qtr,Area Type,St Name,Area,Ownership,Industry,Status Code,Establishment Count,January Employment,February Employment,March Employment,Total Quarterly Wages,Average Weekly Wage,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
US000,US,000,5,1022,2023,1,Nation,,U.S. TOTAL,Private,1022 Information,,"276,835","3,044,203","3,050,511","3,020,410","124,109,466,370","3,142",1.00,1.00
US000,US,000,5,1023,2023,1,Nation,,U.S. TOTAL,Private,1023 Financial activities,,"1,054,479","8,599,330","8,608,067","8,608,835","336,713,060,629","3,010",1.00,1.00
US000,US,000,5,1024,2023,1,Nation,,U.S. TOTAL,Private,1024 Professional and business services,,"2,399,966","22,348,459","22,455,614","22,460,705","578,281,758,864","1,984",1.00,1.00
US000,US,000,5,1025,2023,1,Nation,,U.S. TOTAL,Private,1025 Education and health services,,"2,084,782","23,801,749","24,031,326","24,063,846","369,459,171,293","1,186",1.00,1.00
US000,US,000,5,1026,2023,1,Nation,,U.S. TOTAL,Private,1026 Leisure and hospitality,,"949,982","15,513,016","15,705,102","15,952,703","122,004,921,019",597,1.00,1.00
US000,US,000,5,1027,2023,1,Nation,,U.S. TOTAL,Private,1027 Other services,,"878,031","4,414,951","4,448,768","4,476,799","56,105,958,522",971,1.00,1.00
US000,US,000,5,1029,2023,1,Nation,,U.S. TOTAL,Private,1029 Unclassified,,"436,573","378,439","405,594","429,550","7,652,766,319","1,455",1.00,1.00
72000,72,000,0,10,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Total Covered,"10 Total, all industries",,"51,700","920,071","923,860","936,052","7,709,192,956",640,1.00,1.00
72000,72,000,1,10,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Federal Government,"10 Total, all industries",,254,"19,702","19,760","19,674","386,564,472","1,509",1.10,2.06
72000,72,000,2,10,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,State Government,"10 Total, all industries",,"1,186","127,329","127,879","127,897","1,154,034,989",695,4.46,4.94
72000,72,000,3,10,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Local Government,"10 Total, all industries",,137,"49,087","49,164","49,633","268,040,270",418,0.56,0.45
72000,72,000,5,10,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Private,"10 Total, all industries",,"50,123","723,953","727,057","738,848","5,900,553,225",622,0.92,0.88
72000,72,000,5,101,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Private,101 Goods-producing,,"6,501","122,673","123,509","126,555","1,243,473,435",770,0.92,1.02
72000,72,000,5,1011,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Private,1011 Natural resources and mining,,"1,680","8,399","8,367","8,609","33,355,093",303,0.82,0.37
72000,72,000,5,1012,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Private,1012 Construction,,"2,662","32,734","33,015","34,329","229,907,341",530,0.73,0.61
72000,72,000,5,1013,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Private,1013 Manufacturing,,"2,159","81,540","82,127","83,617","980,211,001",915,1.05,1.31
72000,72,000,5,102,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Private,102 Service-providing,,"43,622","601,280","603,548","612,293","4,657,079,790",591,0.92,0.85
72000,72,000,5,1021,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Private,"1021 Trade, transportation, and utilities",,"12,894","183,838","182,432","184,641","1,387,437,007",581,1.06,1.16
72000,72,000,5,1022,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Private,1022 Information,,576,"15,411","15,329","15,389","179,534,576",898,0.82,0.54
72000,72,000,5,1023,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Private,1023 Financial activities,,"3,481","47,152","47,327","47,722","549,470,415",892,0.90,0.61
72000,72,000,5,1024,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Private,1024 Professional and business services,,"8,165","138,288","138,715","139,599","1,190,316,849",659,1.01,0.77
72000,72,000,5,1025,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Private,1025 Education and health services,,"8,745","112,398","114,739","116,403","825,464,140",554,0.78,0.83
72000,72,000,5,1026,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Private,1026 Leisure and hospitality,,"6,094","88,203","89,052","92,409","422,741,764",362,0.94,1.29
72000,72,000,5,1027,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Private,1027 Other services,,"3,660","15,967","15,931","16,105","101,453,018",488,0.58,0.67
72000,72,000,5,1029,2023,1,State,Puerto Rico,Puerto Rico -- Statewide,Private,1029 Unclassified,,7,23,23,25,"662,021","2,152",0.01,0.03
72001,72,001,0,10,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",Total Covered,"10 Total, all industries",,238,"1,814","1,831","1,858","9,407,625",395,1.00,1.00
72001,72,001,1,10,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",Federal Government,"10 Total, all industries",,1,7,7,7,"138,329","1,520",0.20,0.60
72001,72,001,2,10,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",State Government,"10 Total, all industries",,10,340,345,346,"2,874,186",643,6.08,10.08
72001,72,001,3,10,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",Local Government,"10 Total, all industries",,1,265,266,286,"1,083,886",306,1.61,1.49
72001,72,001,5,10,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",Private,"10 Total, all industries",,226,"1,202","1,213","1,219","5,311,224",337,0.77,0.65
72001,72,001,5,101,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",Private,101 Goods-producing,,100,460,465,467,"1,394,528",231,1.72,0.94
72001,72,001,5,1011,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",Private,1011 Natural resources and mining,,74,230,229,232,"564,665",189,11.14,5.12
72001,72,001,5,1012,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",Private,1012 Construction,,13,58,65,67,"262,194",318,0.71,0.57
72001,72,001,5,1013,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",Private,1013 Manufacturing,,13,172,171,168,"567,669",256,1.07,0.62
72001,72,001,5,102,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",Private,102 Service-providing,,126,742,748,752,"3,916,696",403,0.57,0.59
72001,72,001,5,1021,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",Private,"1021 Trade, transportation, and utilities",,53,275,273,275,"1,115,133",313,0.79,0.76
72001,72,001,5,1022,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",Private,1022 Information,N,1,0,0,0,0,0,0.00,0.00
72001,72,001,5,1023,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",Private,1023 Financial activities,,4,40,41,41,"254,500",481,0.39,0.23
72001,72,001,5,1024,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",Private,1024 Professional and business services,,13,69,71,74,"719,139",775,0.27,0.38
72001,72,001,5,1025,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",Private,1025 Education and health services,,25,214,213,218,"1,374,453",492,0.74,1.14
72001,72,001,5,1026,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",Private,1026 Leisure and hospitality,,23,116,122,117,"342,159",222,0.60,0.86
72001,72,001,5,1027,2023,1,County,Puerto Rico,"Adjuntas Municipio, Puerto Rico",Private,1027 Other services,N,7,0,0,0,0,0,0.00,0.00
72003,72,003,0,10,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",Total Covered,"10 Total, all industries",,605,"4,700","4,709","4,780","27,119,312",441,1.00,1.00
72003,72,003,1,10,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",Federal Government,"10 Total, all industries",,2,109,110,111,"3,143,420","2,198",1.22,4.77
72003,72,003,2,10,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",State Government,"10 Total, all industries",,10,692,692,693,"5,747,491",639,4.74,6.99
72003,72,003,3,10,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",Local Government,"10 Total, all industries",,5,416,417,416,"1,658,660",306,0.91,0.79
72003,72,003,5,10,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",Private,"10 Total, all industries",,588,"3,483","3,490","3,560","16,569,741",363,0.87,0.70
72003,72,003,5,101,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",Private,101 Goods-producing,,95,568,562,594,"2,597,933",348,0.85,0.61
72003,72,003,5,1011,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",Private,1011 Natural resources and mining,,19,50,50,66,"194,712",271,1.23,0.61
72003,72,003,5,1012,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",Private,1012 Construction,,44,300,293,304,"1,547,979",398,1.26,1.16
72003,72,003,5,1013,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",Private,1013 Manufacturing,,32,218,219,224,"855,242",299,0.55,0.33
72003,72,003,5,102,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",Private,102 Service-providing,,493,"2,915","2,928","2,966","13,971,808",366,0.88,0.73
72003,72,003,5,1021,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",Private,"1021 Trade, transportation, and utilities",,189,"1,200","1,211","1,225","5,687,796",361,1.37,1.35
72003,72,003,5,1022,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",Private,1022 Information,,4,4,4,4,"39,307",756,0.04,0.03
72003,72,003,5,1023,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",Private,1023 Financial activities,,23,105,103,113,"575,724",414,0.42,0.18
72003,72,003,5,1024,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",Private,1024 Professional and business services,,61,411,407,398,"2,510,693",476,0.56,0.46
72003,72,003,5,1025,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",Private,1025 Education and health services,,89,421,421,428,"2,548,140",463,0.56,0.73
72003,72,003,5,1026,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",Private,1026 Leisure and hospitality,,89,660,667,683,"2,057,747",236,1.36,1.79
72003,72,003,5,1027,2023,1,County,Puerto Rico,"Aguada Municipio, Puerto Rico",Private,1027 Other services,,38,114,115,115,"552,401",371,0.81,1.04
72005,72,005,0,10,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",Total Covered,"10 Total, all industries",,"1,012","18,713","18,803","19,121","170,198,845",693,1.00,1.00
72005,72,005,1,10,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",Federal Government,"10 Total, all industries",,12,941,930,928,"18,704,070","1,542",2.55,4.52
72005,72,005,2,10,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",State Government,"10 Total, all industries",,29,"3,456","3,453","3,386","30,443,999",682,5.78,5.90
72005,72,005,3,10,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",Local Government,"10 Total, all industries",,1,752,752,752,"3,546,375",363,0.41,0.27
72005,72,005,5,10,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",Private,"10 Total, all industries",,970,"13,564","13,668","14,055","117,504,401",657,0.86,0.80
72005,72,005,5,101,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",Private,101 Goods-producing,,96,"3,065","3,093","3,119","41,357,063","1,029",1.11,1.54
72005,72,005,5,1011,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",Private,1011 Natural resources and mining,,17,95,99,103,"431,598",335,0.48,0.22
72005,72,005,5,1012,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",Private,1012 Construction,,32,574,555,575,"3,748,714",508,0.60,0.45
72005,72,005,5,1013,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",Private,1013 Manufacturing,,47,"2,396","2,439","2,441","37,176,751","1,179",1.51,2.25
72005,72,005,5,102,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",Private,102 Service-providing,,874,"10,499","10,575","10,936","76,147,338",549,0.81,0.63
72005,72,005,5,1021,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",Private,"1021 Trade, transportation, and utilities",,279,"3,659","3,645","3,710","23,289,292",488,1.04,0.88
72005,72,005,5,1022,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",Private,1022 Information,,10,218,217,217,"1,759,779",623,0.57,0.24
72005,72,005,5,1023,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",Private,1023 Financial activities,,66,564,565,574,"4,128,124",559,0.53,0.21
72005,72,005,5,1024,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",Private,1024 Professional and business services,,116,"1,874","1,927","1,965","25,462,483","1,019",0.69,0.74
72005,72,005,5,1025,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",Private,1025 Education and health services,,199,"2,089","2,127","2,292","13,230,733",469,0.75,0.60
72005,72,005,5,1026,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",Private,1026 Leisure and hospitality,,148,"1,900","1,902","1,989","7,372,787",294,0.99,1.02
72005,72,005,5,1027,2023,1,County,Puerto Rico,"Aguadilla Municipio, Puerto Rico",Private,1027 Other services,,56,195,192,189,"904,140",362,0.33,0.27
72007,72,007,0,10,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",Total Covered,"10 Total, all industries",,165,"1,685","1,671","1,718","9,858,734",448,1.00,1.00
72007,72,007,1,10,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",Federal Government,"10 Total, all industries",,1,7,5,6,"112,966","1,448",0.18,0.47
72007,72,007,2,10,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",State Government,"10 Total, all industries",,9,382,382,380,"3,128,014",631,7.23,10.47
72007,72,007,3,10,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",Local Government,"10 Total, all industries",,2,302,302,302,"1,261,385",321,1.84,1.65
72007,72,007,5,10,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",Private,"10 Total, all industries",,153,994,982,"1,030","5,356,369",411,0.70,0.63
72007,72,007,5,101,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",Private,101 Goods-producing,,38,295,294,300,"1,575,469",409,1.19,1.01
72007,72,007,5,1011,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",Private,1011 Natural resources and mining,,8,51,51,52,"186,470",279,2.70,1.61
72007,72,007,5,1012,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",Private,1012 Construction,,20,164,163,167,"1,057,601",494,1.93,2.18
72007,72,007,5,1013,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",Private,1013 Manufacturing,,10,80,80,81,"331,398",317,0.56,0.35
72007,72,007,5,102,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",Private,102 Service-providing,,115,699,688,730,"3,780,900",412,0.60,0.54
72007,72,007,5,1021,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",Private,"1021 Trade, transportation, and utilities",,45,328,333,359,"1,852,829",419,1.12,1.21
72007,72,007,5,1022,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",Private,1022 Information,N,1,0,0,0,0,0,0.00,0.00
72007,72,007,5,1023,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",Private,1023 Financial activities,,8,77,74,81,"490,614",488,0.83,0.42
72007,72,007,5,1024,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",Private,1024 Professional and business services,,9,54,54,52,"244,032",352,0.20,0.12
72007,72,007,5,1025,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",Private,1025 Education and health services,,28,134,123,124,"730,053",442,0.45,0.58
72007,72,007,5,1026,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",Private,1026 Leisure and hospitality,,17,89,87,97,"389,538",329,0.54,0.93
72007,72,007,5,1027,2023,1,County,Puerto Rico,"Aguas Buenas Municipio, Puerto Rico",Private,1027 Other services,N,7,0,0,0,0,0,0.00,0.00
72009,72,009,0,10,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",Total Covered,"10 Total, all industries",,346,"6,011","6,065","6,142","45,398,968",575,1.00,1.00
72009,72,009,1,10,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",Federal Government,"10 Total, all industries",,1,11,11,11,"221,375","1,548",0.09,0.20
72009,72,009,2,10,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",State Government,"10 Total, all industries",,14,943,941,945,"7,624,669",622,5.03,5.54
72009,72,009,3,10,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",Local Government,"10 Total, all industries",,2,260,260,261,"1,309,866",387,0.45,0.37
72009,72,009,5,10,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",Private,"10 Total, all industries",,329,"4,797","4,853","4,925","36,243,058",574,0.94,0.92
72009,72,009,5,101,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",Private,101 Goods-producing,,67,"1,760","1,840","1,863","15,549,696",657,2.07,2.17
72009,72,009,5,1011,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",Private,1011 Natural resources and mining,,29,152,151,156,"690,192",347,2.27,1.30
72009,72,009,5,1012,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",Private,1012 Construction,,13,61,61,61,"275,310",347,0.20,0.12
72009,72,009,5,1013,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",Private,1013 Manufacturing,,25,"1,547","1,628","1,646","14,584,194",698,3.16,3.31
72009,72,009,5,102,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",Private,102 Service-providing,,262,"3,037","3,013","3,062","20,693,362",524,0.70,0.64
72009,72,009,5,1021,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",Private,"1021 Trade, transportation, and utilities",,98,828,794,819,"4,023,994",380,0.71,0.57
72009,72,009,5,1022,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",Private,1022 Information,N,1,0,0,0,0,0,0.00,0.00
72009,72,009,5,1023,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",Private,1023 Financial activities,,12,166,165,168,"1,588,230",734,0.48,0.30
72009,72,009,5,1024,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",Private,1024 Professional and business services,,36,140,142,144,"804,409",436,0.16,0.09
72009,72,009,5,1025,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",Private,1025 Education and health services,,65,"1,551","1,554","1,556","13,081,233",648,1.59,2.24
72009,72,009,5,1026,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",Private,1026 Leisure and hospitality,,33,297,307,326,"962,079",239,0.50,0.50
72009,72,009,5,1027,2023,1,County,Puerto Rico,"Aibonito Municipio, Puerto Rico",Private,1027 Other services,N,17,0,0,0,0,0,0.00,0.00
72011,72,011,0,10,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",Total Covered,"10 Total, all industries",,309,"6,411","6,498","6,591","55,140,555",653,1.00,1.00
72011,72,011,1,10,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",Federal Government,"10 Total, all industries",,1,18,18,17,"328,833","1,432",0.14,0.25
72011,72,011,2,10,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",State Government,"10 Total, all industries",,12,441,443,444,"3,638,794",632,2.20,2.18
72011,72,011,3,10,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",Local Government,"10 Total, all industries",,1,373,373,373,"1,270,546",262,0.59,0.30
72011,72,011,5,10,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",Private,"10 Total, all industries",,295,"5,579","5,664","5,757","49,902,382",677,1.02,1.04
72011,72,011,5,101,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",Private,101 Goods-producing,,64,"3,640","3,716","3,763","40,048,922",831,3.90,4.60
72011,72,011,5,1011,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",Private,1011 Natural resources and mining,,15,41,39,41,"110,021",210,0.55,0.17
72011,72,011,5,1012,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",Private,1012 Construction,,17,87,85,92,"449,725",393,0.28,0.17
72011,72,011,5,1013,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",Private,1013 Manufacturing,,32,"3,512","3,592","3,630","39,489,176",849,6.49,7.38
72011,72,011,5,102,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",Private,102 Service-providing,,231,"1,939","1,948","1,994","9,853,460",387,0.43,0.25
72011,72,011,5,1021,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",Private,"1021 Trade, transportation, and utilities",,70,697,704,717,"3,563,000",388,0.58,0.42
72011,72,011,5,1022,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",Private,1022 Information,,3,18,18,18,"217,992",932,0.14,0.09
72011,72,011,5,1023,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",Private,1023 Financial activities,,13,147,148,147,"1,423,985",743,0.39,0.22
72011,72,011,5,1024,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",Private,1024 Professional and business services,,21,79,81,82,"551,847",526,0.08,0.05
72011,72,011,5,1025,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",Private,1025 Education and health services,,55,379,384,391,"1,876,771",375,0.37,0.26
72011,72,011,5,1026,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",Private,1026 Leisure and hospitality,,43,505,500,526,"1,760,687",265,0.76,0.75
72011,72,011,5,1027,2023,1,County,Puerto Rico,"Anasco Municipio, Puerto Rico",Private,1027 Other services,,26,114,113,113,"459,178",312,0.58,0.43
72013,72,013,0,10,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",Total Covered,"10 Total, all industries",,"1,181","21,898","21,943","22,294","167,885,439",586,1.00,1.00
72013,72,013,1,10,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",Federal Government,"10 Total, all industries",,5,115,113,110,"2,630,137","1,796",0.26,0.64
72013,72,013,2,10,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",State Government,"10 Total, all industries",,36,"6,402","6,447","6,475","56,088,192",670,9.49,11.02
72013,72,013,3,10,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",Local Government,"10 Total, all industries",,2,860,860,860,"4,626,093",414,0.40,0.36
72013,72,013,5,10,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",Private,"10 Total, all industries",,"1,138","14,521","14,523","14,849","104,541,017",550,0.78,0.72
72013,72,013,5,101,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",Private,101 Goods-producing,,167,"4,421","4,411","4,489","39,367,690",682,1.37,1.48
72013,72,013,5,1011,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",Private,1011 Natural resources and mining,,57,467,464,477,"1,803,621",296,1.91,0.92
72013,72,013,5,1012,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",Private,1012 Construction,,59,503,506,526,"2,884,491",434,0.47,0.35
72013,72,013,5,1013,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",Private,1013 Manufacturing,,51,"3,451","3,441","3,486","34,679,578",771,1.84,2.13
72013,72,013,5,102,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",Private,102 Service-providing,,971,"10,100","10,112","10,360","65,173,327",492,0.66,0.55
72013,72,013,5,1021,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",Private,"1021 Trade, transportation, and utilities",,324,"2,854","2,852","2,908","18,811,668",504,0.70,0.72
72013,72,013,5,1022,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",Private,1022 Information,,13,235,209,198,"1,153,424",415,0.45,0.16
72013,72,013,5,1023,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",Private,1023 Financial activities,,66,655,670,662,"5,189,857",603,0.52,0.26
72013,72,013,5,1024,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",Private,1024 Professional and business services,,117,613,607,617,"4,712,790",592,0.19,0.14
72013,72,013,5,1025,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",Private,1025 Education and health services,,277,"4,151","4,199","4,278","29,464,578",538,1.21,1.37
72013,72,013,5,1026,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",Private,1026 Leisure and hospitality,,116,"1,285","1,281","1,405","4,631,004",269,0.60,0.65
72013,72,013,5,1027,2023,1,County,Puerto Rico,"Arecibo Municipio, Puerto Rico",Private,1027 Other services,,58,307,294,292,"1,210,006",313,0.44,0.37
72015,72,015,0,10,2023,1,County,Puerto Rico,"Arroyo Municipio, Puerto Rico",Total Covered,"10 Total, all industries",,109,"2,658","2,697","2,775","22,612,026",642,1.00,1.00
72015,72,015,1,10,2023,1,County,Puerto Rico,"Arroyo Municipio, Puerto Rico",Federal Government,"10 Total, all industries",,1,7,7,6,"141,874","1,637",0.11,0.26
